,Est,Edad,Impuso,Extro,Cant_arg,connectors_total,politeness_total,rud_total,powerless_total,Impuso_n,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,pred_k
10,11,21,1,-1.0341429408765503,3.411039944621137,3.638390336049422,2.601968206186483,4.016295648216965,1.2074240144384547,2,6.93451228193101,-1.29291573269264,0.127572675977282,-0.613364858769855,-0.359417043130023,0.143205674956695,2
11,12,18,0,-1.4279745789823868,3.411039944621137,0.6243391700913209,3.667991969590644,0.5879432516777293,-1.2924538746101768,1,3.31023487818342,-3.3685104241064,1.15244313617272,2.18962424607382,1.05077245840815,-0.0562491687975493,3
12,13,18,1,0.14735197344095932,-0.6877846209862783,-0.5210002729727574,-0.3828983313451681,-0.29679285065497674,0.09636717486128517,2,-0.866057339724871,0.385267019366933,-0.245312340603766,0.0199456814789582,-0.164530561317995,0.15509049598368,0
13,14,19,0,-2.2156378551940596,-0.5359763037415592,-0.9731079478664725,-1.0225125893876648,-0.7944569082171239,-1.2924538746101768,1,-1.97626428408994,-2.15153507516577,-0.623503400093876,-0.703557353893336,-0.256911020033847,-0.0769100878190917,0
14,15,20,0,0.016074760739013812,-0.5359763037415592,-0.21959515637694732,0.2567159266973285,-0.5732728826339474,-0.7369254548215921,1,-0.761634698804474,-0.261672597350428,0.313479514137057,0.530324881359213,-0.319109554590107,-0.37874828544423,0
15,16,18,1,0.9350152496526324,0.2230652824820362,0.5941986584317399,0.2567159266973285,0.6985352644693176,1.7629524342270395,2,1.40007655521607,1.57471150181676,-0.585413403253492,-0.0215389414144564,0.265141222165704,0.292465776238613,1
16,17,18,0,-0.5090340900687682,-0.23235966925212106,0.9257442866871309,-0.5961030840260003,0.47735123888614106,-0.18139703503300725,1,0.318356950392816,-0.219775627448782,-0.107536151527249,-1.01247512939488,-0.608466928895279,-0.479231459818242,3
17,18,18,0,0.14735197344095932,-0.08055135200740199,0.5037771234529969,0.8963301847398252,-0.07560882507180024,-0.18139703503300725,1,0.507527667876555,-0.0482325729222785,0.19867141242089,0.692321277370098,-0.294007031507802,-0.508814271404952,1
18,19,18,1,1.1975696750565235,-0.23235966925212106,-0.43057873799401436,-0.3828983313451681,-0.2414968442591826,-0.45916124492729965,2,-0.74102778912131,0.791896690980273,0.929163692361965,0.113667950073036,0.0818729484799516,0.173585125209091,0
19,20,19,0,0.016074760739013812,0.37487359972675527,-0.1894546447173663,-0.5961030840260003,-0.0203128186760061,-0.7369254548215921,1,-0.403446926287264,-0.397748596795351,0.667390137062193,-0.500555349197815,0.210131887663816,0.119992783144942,0
20,21,22,0,-0.6403113027707137,-0.6877846209862783,-0.6717028312706624,0.043511174016496325,-0.7391609018213298,0.37413138475557756,1,-0.91705451163334,-0.176617909391953,-0.983048516114727,0.427197242516385,0.0257895845027638,-0.0269715038529175,0
21,22,19,1,1.066292462354578,-0.8395929382309975,-0.5210002729727574,-1.0225125893876648,-0.4626808698423591,-1.0146896647158845,2,-1.60704669164363,0.692568486510524,1.06929946710508,-0.305419205913699,-0.319739777688913,-0.037039915441035,0
22,23,19,0,-1.6905290043862777,-0.23235966925212106,-0.34015720301527136,-0.16969357866433588,-0.0203128186760061,1.4851882243327472,1,0.0630480152393887,-0.502592168400964,-2.18173589830372,-0.321629647193563,0.181454242616513,0.331152675121903,3
23,24,19,1,-1.0341429408765503,0.0712569652373171,0.5339176351125778,1.5359444427823217,0.6432392580735234,-0.18139703503300725,2,1.21885482794149,-1.11818180389404,-0.378838009301508,0.798965530560393,-0.784729727014377,-0.178274053558658,3
24,25,26,0,0.4099063988448503,0.37487359972675527,-0.5511407846323384,1.1095349374206573,-0.5179768762381532,-0.45916124492729965,1,-0.0546846345738852,-0.272295339988471,0.573706526371865,1.32665283496381,0.389645317735144,0.0663396457547169,0
25,26,20,0,0.5411836115467958,1.1339151859503507,-0.21959515637694732,-0.8093078367068325,-0.18620083786338848,-1.2924538746101768,1,-0.408409656440141,-0.472911962185064,1.59588766411447,-0.624067293715574,0.802851833832904,0.124978660228384,0
26,27,19,0,0.016074760739013812,-0.5359763037415592,-0.4908597613131764,-0.3828983313451681,-0.6285688890297415,-1.0146896647158845,1,-1.27896159550105,-0.324656505957965,0.511642623944768,0.0682497730338791,-0.21988536460968,-0.209396771973019,0
27,28,20,1,0.9350152496526324,-0.5359763037415592,0.4736366117934159,-0.16969357866433588,-0.2414968442591826,2.040716644121332,2,0.415904613479661,2.00613358196654,-1.12174106646988,0.0090538532180821,0.352848738473184,-0.238874428088701,1
28,29,19,0,-0.37775687736682273,-0.6877846209862783,-0.37029771467485234,0.8963301847398252,-0.35208885705077086,1.7629524342270395,1,0.202896895233466,0.622557666620253,-1.81762652358779,1.01552694360957,0.0655621140658347,0.141912817701694,1
